candidate_name,display_name,race,district,party,finance_type,total_raised
matthew d beck,Matthew Beck,Representative,122,Democratic,TF,100.0
marshall archer,Marshall Archer,Representative,129,Democratic,TF,160.0
johanna d turner,Johanna D Turner,Representative,,,TF,0
melissa l richardson,Melissa L Richardson,Representative,,,TF,0
susan a black,Susan A. Black,Representative,,,TF,0
julie a curtis,JULIE A CURTIS,Representative,,,TF,0
rebecca sue wotton,Rebecca Sue Wotton,Representative,,,TF,0
kevin lamoreau,Kevin Lamoreau,Representative,,,TF,0
robert cameron,Robert Cameron,Representative,121,Democratic,MCEA,500.0
russell john black,Russell Black,Representative,74,Republican,MCEA,1000.0
annie christy,Annie Christy,Representative,123,Republican,TF,1800.0
savannah sessions,Savannah Sessions,Representative,,,TF,0
garrett plummer,Garrett Plummer,Senator,31,,TF,0
arthur k mingo,Arthur Mingo,Representative,9,,TF,0
troy morton,Troy Morton,Representative,,,TF,0
william t dobbins,William T. Dobbins,Representative,,,TF,0
jason seth cherry,Jason Seth Cherry,Governor,,,TF,0
chad syphers,Chad Syphers,Representative,93,,TF,0
timothy becker,Timothy Becker,Representative,83,,MCEA,0
clifford noyes,Clifford Noyes,Representative,,,MCEA,0
douglas colburn carlisle jr,Douglas Carlisle Jr.,Representative,5,,MCEA,0
matthew foster,Matthew Townsend,Representative,67,,TF,0
anne carney,Anne Carney,Senator,29,Democratic,TF,2805.0
vincent maietta,Vincent Maietta,Senator,29,Republican,TF,1000.0
tammy gay,Tammy Gay,Representative,,,TF,0
robin uptonsukeforth,Robin Upton-Sukeforth,Representative,56,Democratic,MCEA,660.0
albert joy,Albert Joy,Representative,,,TF,0
cherri l crockett,Cherri L Crockett,Representative,,,TF,0
gail j clark,Gail J Clark,Representative,,,TF,0
corey leigh bagley,Corey Leigh Bagley,Representative,,,TF,0
frank mawson blauvelt jr,"Frank Mawson Blauvelt, Jr.",Representative,,,TF,0
todd lyford,Todd Lyford,Representative,,,TF,0
